#  ,rok  ,Austria ,Belgium ,Bulgaria ,Cyprus ,Czech ,Germany ,Denmark ,EA20: Euro Area (the 20 countries using the euro) ,Estonia ,Greece ,Spain ,"EU27_2020: European Union 27 countries (after Brexit, excluding the UK)" ,Finland ,France ,Croatia ,Hungary ,Ireland ,Italy ,Lithuania ,Luxembourg ,Latvia ,Malta ,Netherlands ,Poland ,Portugal ,Romania ,Sweden ,Slovenia ,Slovakia
 1 ,1995 ,  30290 ,  28400 ,    3630 , 17530 ,10320 ,  28960 ,  39110 ,                                            24610 ,   6410 , 14290 ,18220 ,                                                                    20910 ,  26940 , 26540 ,   6520 ,   6940 ,  25900 ,26510 ,     4440 ,     67360 ,  4200 ,    0 ,      30570 ,  5150 ,   14250 ,   4120 , 31610 ,   11980 ,    6990
 2 ,1996 ,  30920 ,  28720 ,    3840 , 17470 ,10770 ,  29210 ,  39990 ,                                            24980 ,   6840 , 14430 ,18620 ,                                                                    21260 ,  27840 , 26820 ,   7010 ,   6960 ,  27620 ,26850 ,     4700 ,     67480 ,  4350 ,    0 ,      31470 ,  5460 ,   14700 ,   4300 , 32100 ,   12320 ,    7400
 3 ,1997 ,  31540 ,  29740 ,    3320 , 17680 ,10720 ,  29730 ,  41080 ,                                            25590 ,   7830 , 14870 ,19210 ,                                                                    21810 ,  29530 , 27400 ,   7480 ,   7180 ,  30350 ,27360 ,     5120 ,     70230 ,  4790 ,    0 ,      32640 ,  5810 ,   15270 ,   4100 , 33070 ,   12980 ,    7790
 4 ,1998 ,  32610 ,  30260 ,    3460 , 18530 ,10690 ,  30380 ,  41900 ,                                            26300 ,   8250 , 15300 ,19960 ,                                                                    22430 ,  31060 , 28250 ,   7650 ,   7480 ,  32560 ,27840 ,     5550 ,     73970 ,  5160 ,    0 ,      33940 ,  6080 ,   15930 ,   4020 , 34460 ,   13400 ,    8080
 5 ,1999 ,  33770 ,  31250 ,    3190 , 19240 ,10850 ,  31040 ,  43000 ,                                            27030 ,   8300 , 15650 ,20750 ,                                                                    23070 ,  32340 , 29060 ,   7620 ,   7730 ,  35600 ,28310 ,     5520 ,     78880 ,  5340 ,    0 ,      35420 ,  6370 ,   16460 ,   4020 , 35880 ,   14100 ,    8040
 6 ,2000 ,  34760 ,  32340 ,    3350 , 20180 ,11290 ,  31920 ,  44450 ,                                            27990 ,   8990 , 16230 ,21730 ,                                                                    23930 ,  34130 , 30060 ,   7920 ,   8090 ,  38440 ,29390 ,     5750 ,     83270 ,  5710 ,15640 ,      36650 ,  6670 ,   16960 ,   4120 , 37480 ,   14550 ,    8090
 7 ,2001 ,  35090 ,  32580 ,    3600 , 20750 ,11680 ,  32420 ,  44710 ,                                            28520 ,   9580 , 16890 ,22470 ,                                                                    24400 ,  34960 , 30410 ,   8490 ,   8440 ,  39860 ,29960 ,     6180 ,     84880 ,  6160 ,15250 ,      37220 ,  6750 ,   17170 ,   4340 , 37880 ,   14940 ,    8360
 8 ,2002 ,  35430 ,  32990 ,    3830 , 21270 ,11880 ,  32320 ,  44770 ,                                            28640 ,  10310 , 17620 ,22720 ,                                                                    24610 ,  35460 , 30520 ,   8970 ,   8860 ,  41480 ,29980 ,     6650 ,     86680 ,  6710 ,15550 ,      37080 ,  6880 ,   17210 ,   4740 , 38620 ,   15410 ,    8730
 9 ,2003 ,  35680 ,  33190 ,    4050 , 21570 ,12270 ,  32160 ,  44850 ,                                            28690 ,  11160 , 18600 ,22960 ,                                                                    24740 ,  36090 , 30600 ,   9470 ,   9240 ,  42030 ,29840 ,     7410 ,     87840 ,  7340 ,16020 ,      36940 ,  7130 ,   16990 ,   4880 , 39210 ,   15890 ,    9150
10 ,2004 ,  36360 ,  34230 ,    4340 , 22350 ,12850 ,  32570 ,  45980 ,                                            29200 ,  12000 , 19550 ,23310 ,                                                                    25270 ,  37420 , 31250 ,   9860 ,   9720 ,  44110 ,30060 ,     7980 ,     90310 ,  8070 ,15970 ,      37550 ,  7500 ,   17250 ,   5410 , 40680 ,   16600 ,    9640
11 ,2005 ,  36950 ,  34830 ,    4670 , 23100 ,13630 ,  32900 ,  46930 ,                                            29560 ,  13210 , 19720 ,23690 ,                                                                    25670 ,  38330 , 31610 ,  10270 ,  10160 ,  45600 ,30110 ,     8740 ,     91120 ,  9110 ,16330 ,      38220 ,  7750 ,   17350 ,   5700 , 41670 ,   17210 ,   10260
12 ,2006 ,  37970 ,  35480 ,    5010 , 23790 ,14490 ,  34240 ,  48550 ,                                            30400 ,  14590 , 20930 ,24260 ,                                                                    26490 ,  39720 , 32240 ,  10790 ,  10570 ,  46650 ,30530 ,     9530 ,     95130 , 10370 ,16650 ,      39510 ,  8230 ,   17600 ,   6200 , 43340 ,   18170 ,   11170
13 ,2007 ,  39270 ,  36520 ,    5380 , 24480 ,15200 ,  35310 ,  48820 ,                                            31150 ,  15790 , 21610 ,24640 ,                                                                    27220 ,  41650 , 32860 ,  11340 ,  10630 ,  47670 ,30790 ,    10720 ,    101170 , 11540 ,17430 ,      40960 ,  8790 ,   18010 ,   6740 , 44430 ,   19360 ,   12360
14 ,2008 ,  39710 ,  36400 ,    5730 , 24740 ,15430 ,  35730 ,  48330 ,                                            31120 ,  15030 , 21560 ,24420 ,                                                                    27300 ,  41780 , 32810 ,  11570 ,  10750 ,  44560 ,30240 ,    11110 ,     99110 , 11270 ,18080 ,      41660 ,  9180 ,   18040 ,   7500 , 43680 ,   19980 ,   13000
15 ,2009 ,  38200 ,  35420 ,    5570 , 23600 ,14610 ,  33870 ,  45680 ,                                            29640 ,  12850 , 20620 ,23310 ,                                                                    26080 ,  38230 , 31720 ,  10790 ,  10040 ,  41890 ,28470 ,     9570 ,     94170 ,  9620 ,17690 ,      39930 ,  9330 ,   17460 ,   7140 , 41470 ,   18290 ,   12260
16 ,2010 ,  38800 ,  36040 ,    5690 , 23510 ,14970 ,  35360 ,  46190 ,                                            30190 ,  13190 , 19420 ,23230 ,                                                                    26600 ,  39260 , 32200 ,  10670 ,  10170 ,  42400 ,28780 ,     9810 ,     95920 ,  9470 ,18700 ,      40250 ,  9740 ,   17750 ,   6900 , 43480 ,   18420 ,   13060
17 ,2011 ,  39800 ,  36270 ,    5960 , 23020 ,15260 ,  36690 ,  46610 ,                                            30640 ,  14240 , 17530 ,23000 ,                                                                    27070 ,  40010 , 32830 ,  10690 ,  10400 ,  42920 ,28880 ,    10670 ,     94700 ,  9940 ,18800 ,      40770 , 10250 ,   17450 ,   7250 , 44510 ,   18510 ,   13480
18 ,2012 ,  39870 ,  36120 ,    6070 , 21890 ,15130 ,  36800 ,  46430 ,                                            30280 ,  14810 , 16160 ,22330 ,                                                                    26820 ,  39210 , 32740 ,  10490 ,  10320 ,  42580 ,27900 ,    11280 ,     94080 , 10790 ,19420 ,      40230 , 10400 ,   16810 ,   7420 , 44010 ,   17930 ,   13670
19 ,2013 ,  39540 ,  36060 ,    6130 , 20490 ,15130 ,  36840 ,  46890 ,                                            30180 ,  15130 , 15900 ,22090 ,                                                                    26790 ,  38650 , 32830 ,  10510 ,  10570 ,  43300 ,27340 ,    11850 ,     94600 , 11130 ,20370 ,      40100 , 10480 ,   16740 ,   7470 , 44130 ,   17760 ,   13750
20 ,2014 ,  39520 ,  36530 ,    6260 , 20350 ,15470 ,  37480 ,  47240 ,                                            30560 ,  15680 , 16140 ,22500 ,                                                                    27190 ,  38300 , 32990 ,  10500 ,  11070 ,  47010 ,27330 ,    12400 ,     94820 , 11470 ,21490 ,      40600 , 10900 ,   16950 ,   7800 , 44690 ,   18230 ,   14100
21 ,2015 ,  39640 ,  36860 ,    6560 , 21220 ,16230 ,  37770 ,  47900 ,                                            31120 ,  16000 , 16210 ,23440 ,                                                                    27770 ,  38350 , 33200 ,  10810 ,  11520 ,  58040 ,27620 ,    12860 ,     95090 , 12010 ,23000 ,      41270 , 11390 ,   17280 ,   8090 , 46170 ,   18660 ,   14820
22 ,2016 ,  39970 ,  37110 ,    6840 , 22460 ,16640 ,  38330 ,  48970 ,                                            31590 ,  16460 , 16270 ,24100 ,                                                                    28250 ,  39230 , 33360 ,  11280 ,  11850 ,  58050 ,28010 ,    13360 ,     97300 , 12430 ,23400 ,      42050 , 11740 ,   17670 ,   8370 , 46700 ,   19210 ,   15090
23 ,2017 ,  40620 ,  37510 ,    7130 , 23530 ,17490 ,  39220 ,  50150 ,                                            32340 ,  17390 , 16540 ,24750 ,                                                                    28990 ,  40430 , 33920 ,  11770 ,  12380 ,  62970 ,28510 ,    14150 ,     96460 , 12970 ,25710 ,      42970 , 12340 ,   18280 ,   9100 , 46880 ,   20190 ,   15500
24 ,2018 ,  41430 ,  38040 ,    7410 , 24700 ,17960 ,  39540 ,  50830 ,                                            32830 ,  17990 , 16920 ,25230 ,                                                                    29540 ,  40860 , 34320 ,  12230 ,  13100 ,  66760 ,28810 ,    14970 ,     95740 , 13630 ,26600 ,      43680 , 13120 ,   18830 ,   9720 , 47220 ,   21010 ,   16110
25 ,2019 ,  41970 ,  38760 ,    7800 , 25800 ,18570 ,  39840 ,  51500 ,                                            33280 ,  18580 , 17320 ,25520 ,                                                                    30040 ,  41370 , 34880 ,  12940 ,  13780 ,  69040 ,29000 ,    15710 ,     96520 , 13820 ,26570 ,      44390 , 13720 ,   19310 ,  10140 , 47910 ,   21570 ,   16450
26 ,2020 ,  39140 ,  36740 ,    7620 , 24690 ,17670 ,  38180 ,  50470 ,                                            31220 ,  17990 , 15760 ,22610 ,                                                                    28390 ,  40270 , 32170 ,  11970 ,  13210 ,  73000 ,26560 ,    15720 ,     94180 , 13430 ,25150 ,      42440 , 13720 ,   17680 ,   9820 , 46640 ,   20560 ,   16010
27 ,2021 ,  40860 ,  38860 ,    8270 , 27240 ,18380 ,  39570 ,  53970 ,                                            33180 ,  19260 , 17220 ,24120 ,                                                                    30200 ,  41290 , 34260 ,  13580 ,  14210 ,  83910 ,29080 ,    16740 ,     99360 , 14480 ,28320 ,      44870 , 14750 ,   18620 ,  10450 , 49110 ,   22230 ,   16980
28 ,2022 ,  42540 ,  40180 ,    8660 , 28860 ,18450 ,  39820 ,  54310 ,                                            34190 ,  19240 , 18310 ,25380 ,                                                                    31060 ,  41770 , 35040 ,  14580 ,  14860 ,  89250 ,30500 ,    17020 ,     98560 , 14730 ,28770 ,      46670 , 15190 ,   19800 ,  10910 , 49300 ,   22810 ,   17010
29 ,2023 ,  41770 ,  40370 ,    8850 , 29150 ,18230 ,  39380 ,  55280 ,                                            34110 ,  18200 , 18800 ,25730 ,                                                                    31030 ,  41140 , 35260 ,  14970 ,  14740 ,  82780 ,30720 ,    16840 ,     95660 , 15020 ,29500 ,      46240 , 15280 ,   20090 ,  11170 , 48850 ,   23170 ,   17240
